,CPD,description
7463,cpd:C09637,beta-Chamigrene; (-)-beta-Chamigrene
7464,cpd:C09638,Cinnamodial
7465,cpd:C09639,alpha-Copaene; Copaene; (-)-alpha-Copaene
7466,cpd:C09640,(-)-Salsoline
7467,cpd:C09641,"7,4'-Dihydroxyflavan"
7468,cpd:C09642,"(-)-Salsolinol; 6,7-Isoquinolinediol, 1,2,3,4-tetrahydro-1-methyl-, (S)-; Salsolinol"
7469,cpd:C09643,Sinomenine
7470,cpd:C09644,"2',6'-Dihydroxy-4'-methoxydihydrochalcone"
7471,cpd:C09645,Cuauhtemone
7472,cpd:C09646,"7,3'-Dihydroxy-4'-methoxy-8-methylflavan"
7473,cpd:C09647,alpha-Cubebene
7474,cpd:C09648,beta-Cubebene
7475,cpd:C09649,"alpha-Curcumene; l-alpha-Curcumene; (-)-alpha-Curcumene; (R)-1-(1,5-Dimethyl-4-hexenyl)-4-methylbenzene"
7476,cpd:C09650,"7,4'-Dihydroxy-8-methylflavan"
7477,cpd:C09651,Cycloeudesmol
7478,cpd:C09652,Daucol
7479,cpd:C09653,Debneyol
7480,cpd:C09654,(+)-Tetrandrine; Tetrandrine
7481,cpd:C09655,Thalicarpine
7482,cpd:C09656,Thalidasine
7483,cpd:C09657,"Dehydrojuvabione; (4R)-4-[(1R)-1,5-Dimethyl-3-oxo-4-hexenyl]-1-cyclohexene-1-carboxylic acid methyl ester"
7484,cpd:C09658,Dehydromyodesmone
7485,cpd:C09659,Thalmine
7486,cpd:C09660,Dehydrongaione
7487,cpd:C09661,Thalsimine
7488,cpd:C09662,Diacetoxyscirpenol
7489,cpd:C09663,alpha-Eudesmol
7490,cpd:C09664,beta-Eudesmol
7491,cpd:C09665,"alpha-Farnesene; (3E,6E)-alpha-Farnesene"
7492,cpd:C09666,beta-Farnesene; (E)-beta-Farnesene
7493,cpd:C09667,Tiliacorine
7494,cpd:C09668,Fumagillin
7495,cpd:C09669,Trilobine
7496,cpd:C09670,Xylopine
7497,cpd:C09671,Xylopinine; Norcoralydine
7498,cpd:C09672,"Germacrene B; (E,E)-Germacrene B; (E,E)-1,5-Dimethyl-8-(1-methylethylidene)-1,5-cyclodecadiene"
7499,cpd:C09673,Glutinosone
7500,cpd:C09674,Graphinone; Ovalicin
7501,cpd:C09675,"Guaiazulene; 1,4-Dimethyl-7-isopropylazulene"
7502,cpd:C09676,Guaiol
7503,cpd:C09677,Helminthosporal
7504,cpd:C09678,Helminthosporol
7505,cpd:C09679,Helminthosporoside A
7506,cpd:C09680,Hemigossypol
7507,cpd:C09681,Hernandulcin
7508,cpd:C09682,Himachalol
7509,cpd:C09683,Hirsutic acid C
7510,cpd:C09684,Humulene; alpha-Humulene
7511,cpd:C09685,10beta-Hydroxy-6beta-isobutyrylfuranoeremophilane
7512,cpd:C09686,Hydroxyisopatchoulenone
7513,cpd:C09687,Illudin M
7514,cpd:C09688,Illudin S
7515,cpd:C09689,Ipomeamarone; (+)-Ngaione
7516,cpd:C09690,alpha-Irone; (+)-cis-alpha-Irone
7517,cpd:C09691,Isocaryophyllene
7518,cpd:C09692,Isovelleral
7519,cpd:C09693,Juvabione
7520,cpd:C09694,Juvenile hormone III
7521,cpd:C09695,Lacinilene C 7-methyl ether
7522,cpd:C09696,Lactaroviolin
7523,cpd:C09697,Laserpitin
7524,cpd:C09698,Ledol
7525,cpd:C09699,Longifolene
7526,cpd:C09700,Lubimin
7527,cpd:C09701,Marasmic acid
7528,cpd:C09702,Mukaadial
7529,cpd:C09704,"Nerolidol; (3S,6E)-Nerolidol"
7530,cpd:C09705,Patchouli alcohol
7531,cpd:C09706,Petasin
7532,cpd:C09707,Phaseic acid
7533,cpd:C09708,Phomenone
7534,cpd:C09709,Phytuberin
7535,cpd:C09710,Pinguisone
7536,cpd:C09711,Piperdial
7537,cpd:C09712,Polygodial
7538,cpd:C09714,Rhipocephalin
7539,cpd:C09715,Rishitin
7540,cpd:C09716,Roridin A
7541,cpd:C09717,Rugosal A; Rugosal
7542,cpd:C09718,beta-Santalene; (-)-beta-Santalene
7543,cpd:C09719,alpha-Santalol
7544,cpd:C09720,beta-Santalol
7545,cpd:C09721,Sclerosporin
7546,cpd:C09722,Seiricardine A
7547,cpd:C09723,beta-Selinene
7548,cpd:C09724,"Lonchocarpol A; Senegalensin; 6,8-Diprenylnaringenin"
7549,cpd:C09725,Shiromodiol diacetate
7550,cpd:C09726,Dracorubin
7551,cpd:C09727,(-)-Epicatechin
7552,cpd:C09728,(+)-Epicatechin; ent-Epicatechin
7553,cpd:C09729,alpha-Sinensal
7554,cpd:C09730,"beta-Sinensal; 2,6-Dimethyl-10-methylene-2,6,11-dodecatrienal"
7555,cpd:C09731,Epigallocatechin 3-gallate
7556,cpd:C09732,Eriocitrin; Eriodictyol 7-O-rutinoside
7557,cpd:C09733,Sirenin
7558,cpd:C09734,Farrerol
7559,cpd:C09735,"Fisetinidol; 3,7,3',4'-Tetrahydroxyflavan"
7560,cpd:C09736,"Fisetinidol-4beta-ol; (-)-Mollisacacidin; Fisetinin-3,4-diol; 5-Deoxyleucocyanidin"
7561,cpd:C09737,Solavetivone
7562,cpd:C09738,T-2 Toxin
7563,cpd:C09739,Tetradymol
7564,cpd:C09740,Thujopsene; (-)-Thujopsene
7565,cpd:C09741,Trichodermin
7566,cpd:C09742,Trichothecin
7567,cpd:C09743,Valerenic acid
7568,cpd:C09744,alpha-Vetivone
7569,cpd:C09745,beta-Vetivone
7570,cpd:C09746,Verrucarin A; Muconomycin A
7571,cpd:C09747,Vomitoxin; Deoxynivalenol; DON
7572,cpd:C09748,Warburganal
7573,cpd:C09749,alpha-Ylangene
7574,cpd:C09750,Zingiberene; alpha-Zingiberene
7575,cpd:C09751,"Garbanzol; 3,7,4'-Trihydroxyflavanone"
7576,cpd:C09752,Glabranin
7577,cpd:C09753,Glepidotin B
7578,cpd:C09754,Glycyphyllin; Phloretin 2'-O-rhamnoside
7579,cpd:C09755,Hesperidin; Hesperetin 7-O-rutinoside; Ciratin
7580,cpd:C09756,Homoeriodictyol; Eriodictyol 3'-methyl ether
7581,cpd:C09757,7-Hydroxyflavan
7582,cpd:C09758,"Isochamaejasmin; 3,3''-Binaringenin"
7583,cpd:C09759,"Isouvaretin; 1-(4,6-Dihydroxy-3-((2-hydroxyphenyl)methyl)-2-methoxyphenyl)-3-phenyl-1-propanone"
7584,cpd:C09760,Kazinol A
7585,cpd:C09761,Kolaflavanone
7586,cpd:C09762,"Liquiritigenin; 4',7-dihydroxyflavanone"
7587,cpd:C09763,Manniflavanone
7588,cpd:C09764,6-Methoxyaromadendrin 3-O-acetate
7589,cpd:C09765,Agnuside
7590,cpd:C09766,Allamandin
7591,cpd:C09767,Amarogentin
7592,cpd:C09768,Antirrhinoside
7593,cpd:C09769,Asperuloside
7594,cpd:C09770,6-Methoxytaxifolin
7595,cpd:C09771,Aucubin
7596,cpd:C09772,Boschnialactone
7597,cpd:C09773,Catalpol
7598,cpd:C09774,2'-O-Methylodoratol; Methylodoratol
7599,cpd:C09775,Catalposide
7600,cpd:C09776,Didrovaltratum; Didrovaltrate
7601,cpd:C09777,Dolichodial; Iridial
7602,cpd:C09778,Fulvoplumierin
7603,cpd:C09779,Gardenoside
7604,cpd:C09780,Genipin
7605,cpd:C09781,Geniposide
7606,cpd:C09782,Gentiopicrin; Gentiopicroside
7607,cpd:C09783,Harpagoside
7608,cpd:C09784,Ipolamiide
7609,cpd:C09785,(+)-Iridodial
7610,cpd:C09786,Iridomyrmecin
7611,cpd:C09787,Isoplumericin
7612,cpd:C09788,Monotropein
7613,cpd:C09789,Naringin; Naringenin 7-O-neohesperidoside; Naringenin 7-O-[alpha-L-rhamnosyl-(1->2)-beta-D-glucoside]
7614,cpd:C09790,(+)-Neomatatabiol
7615,cpd:C09791,Nepetalactone cis-trans-form
7616,cpd:C09792,Nepetalactone trans-cis-form
7617,cpd:C09793,Narirutin; Naringenin 7-O-rutinoside
7618,cpd:C09794,Oleuropein
7619,cpd:C09795,Paederoside
7620,cpd:C09796,Plumericin
7621,cpd:C09797,Plumieride
7622,cpd:C09798,Scandoside methyl ester
7623,cpd:C09799,Specionin
7624,cpd:C09800,Swertiamarin
7625,cpd:C09801,Valtratum; Valtrate
7626,cpd:C09802,Verbenalin; Cornin (glycoside)
7627,cpd:C09803,"Neoastilbin; (2S,3S)-Taxifolin 3-rhamnoside"
7628,cpd:C09804,"cis-trans-Nepetalactol; cis-trans-Iridodial lactol; (+)-cis,trans-Nepetalactol; (4aS,7S,7aR)-4,7-Dimethyl-1,4a,5,6,7,7a-hexahydrocyclopenta[c]pyran-1-ol"
7629,cpd:C09805,Neoeriocitrin; Eriodictyol 7-O-neohesperidoside
7630,cpd:C09806,Neohesperidin; Hesperetin 7-O-neohesperidoside
7631,cpd:C09807,Odoratol
7632,cpd:C09808,Phellamurin; 8-Prenyldihydrokaempferol 7-glucoside
7633,cpd:C09809,"Cyclohex-2,5-diene-1-carboxyl-CoA"
7634,cpd:C09810,"Cyclohex-1,4-diene-1-carboxyl-CoA"
7635,cpd:C09811,Cyclohex-1-ene-1-carboxyl-CoA
7636,cpd:C09812,2-Hydroxycyclohexane-1-carboxyl-CoA
7637,cpd:C09813,2-Ketocyclohexane-1-carboxyl-CoA; 2-Oxocyclohexane-1-carbonyl-CoA
7638,cpd:C09814,Benzonitrile; Phenyl cyanide; Cyanobenzene
7639,cpd:C09815,Benzamide
7640,cpd:C09816,Benzylsuccinate; (R)-2-Benzylsuccinate
7641,cpd:C09817,Benzylsuccinyl-CoA; (R)-2-Benzylsuccinyl-CoA
7642,cpd:C09818,E-Phenylitaconyl-CoA; (E)-2-Benzylidenesuccinyl-CoA
7643,cpd:C09819,(Hydroxymethylphenyl)succinyl-CoA
7644,cpd:C09820,Benzoylsuccinyl-CoA; 2-Benzoylsuccinyl-CoA
7645,cpd:C09821,6-Oxocyclohex-1-ene-1-carbonyl-CoA; 6-Ketoxycyclohex-1-ene-1-carboxyl-CoA
7646,cpd:C09822,Cyclohexane-1-carboxylate; Cyclohexanecarboxylic acid; Hexahydrobenzoic acid
7647,cpd:C09823,Cyclohexane-1-carboxyl-CoA
7648,cpd:C09824,"2,6-Dihydroxycyclohexane-1-carboxyl-CoA"
7649,cpd:C09825,2-Hydroxy-6-oxocyclohexane-1-carbonyl-CoA; 6-Oxo-2-hydroxycyclohexane-1-carboxyl-CoA
7650,cpd:C09826,"Pinobanksin; 3,5,7-Trihydroxyflavanone"
7651,cpd:C09827,"Pinocembrin; 5,7-Dihydroxyflavanone"
7652,cpd:C09828,Pinocembrin 7-rhamnosylglucoside
7653,cpd:C09829,Piperaduncin B
7654,cpd:C09830,Poncirin; Isosakuranetin 7-O-neohesperidoside
7655,cpd:C09831,5'-Prenylhomoeriodictyol; Sigmoidin B 3'-methyl ether
7656,cpd:C09832,"6-Prenylnaringenin; 5,7,4'-Trihydroxy-6-prenylflavanone"
7657,cpd:C09833,Sakuranetin; Naringenin 7-methyl ether; (2S)-Sakuranetin
7658,cpd:C09834,Sanggenon C
7659,cpd:C09835,Sanggenon D
7660,cpd:C09836,Ascaridole
7661,cpd:C09837,"(1S,2R,4S)-(-)-Bornyl acetate"
7662,cpd:C09839,Car-3-ene; (-)-3-Carene
7663,cpd:C09840,Carvacrol
7664,cpd:C09841,Carvone oxide
7665,cpd:C09842,Chrysanthemic acid
7666,cpd:C09843,Chrysanthenone; (-)-Chrysanthenone
7667,cpd:C09844,"1,8-Cineole; 1,8-Cineol; Eucalyptol; 1,3,3-Trimethyl-2-oxabicyclo[2.2.2]octane"
7668,cpd:C09845,Cinerin I
7669,cpd:C09846,Cinerin II
7670,cpd:C09847,cis-Citral; Neral
7671,cpd:C09848,(R)-(+)-Citronellal
7672,cpd:C09849,beta-Citronellol; (R)-(+)-Citronellol
7673,cpd:C09850,Acrifoline
7674,cpd:C09851,Annofoline; (15R)-5beta-Hydroxy-15-methyllycopodan-8-one
7675,cpd:C09852,Annotine
7676,cpd:C09853,"1,2-Dihydroxymint lactone"
7677,cpd:C09854,Diosphenol
7678,cpd:C09855,Annotinine
7679,cpd:C09856,Carolinianine
7680,cpd:C09858,Evodone
7681,cpd:C09859,"Fenchone; (1R,4S)-(-)-Fenchone"
7682,cpd:C09860,Cernuine
7683,cpd:C09861,Geranyl acetate
7684,cpd:C09862,Fawcettidine
7685,cpd:C09863,Linalyl acetate
7686,cpd:C09864,Fawcettimine
7687,cpd:C09865,Flabellidine
7688,cpd:C09866,Huperzine B
7689,cpd:C09867,Inundatine
7690,cpd:C09868,Menthofuran
7691,cpd:C09869,Lucidine B; Serratanine
7692,cpd:C09870,(-)-Menthyl acetate; l-Menthyl acetate; Menthyl acetate
7693,cpd:C09871,"Nerol; (Z)-3,7-Dimethylocta-2,6-dien-1-ol"
7694,cpd:C09872,Luciduline; (+)-Luciduline
7695,cpd:C09873,(E)-beta-Ocimene; beta-Ocimene
7696,cpd:C09874,Lycocernuine
7697,cpd:C09875,(R)-(-)-alpha-Phellandrene
7698,cpd:C09876,Lycodine
7699,cpd:C09877,(+)-beta-Phellandrene
7700,cpd:C09878,Lycofawcine
7701,cpd:C09879,Lycoflexine
7702,cpd:C09880,alpha-Pinene
7703,cpd:C09881,Lyconnotine
7704,cpd:C09882,beta-Pinene
7705,cpd:C09883,Lycopodine
7706,cpd:C09884,Pinocarvone
7707,cpd:C09885,(+)-Piperitone; d-Piperitone
7708,cpd:C09886,Magellanine
7709,cpd:C09887,Piquerol A
7710,cpd:C09888,Megastachine
7711,cpd:C09889,alpha-Obscurine
7712,cpd:C09890,beta-Obscurine
7713,cpd:C09891,Oxolucidine B; Serratanine B
7714,cpd:C09892,Phlegmarine
7715,cpd:C09893,Pulegone; (+)-Pulegone
7716,cpd:C09894,Pyrethrin II
7717,cpd:C09895,Sauroxine
7718,cpd:C09896,Rotundifolone; Lippione
7719,cpd:C09897,Selagine
7720,cpd:C09898,alpha-Terpinene
7721,cpd:C09899,Serratanidine
7722,cpd:C09900,gamma-Terpinene
7723,cpd:C09901,Serratine
7724,cpd:C09902,(R)-(+)-alpha-Terpineol; (+)-alpha-Terpineol
7725,cpd:C09903,Spirolucidine
7726,cpd:C09904,beta-Thujaplicin; Hinokitiol; 4-Isopropyltropolone
7727,cpd:C09905,gamma-Thujaplicin; 5-Isopropyltropolone
7728,cpd:C09906,Thujone; (-)-3-Isothujone; (-)-3-Thujanone
7729,cpd:C09907,Acanthicifoline
7730,cpd:C09908,Thymol
7731,cpd:C09909,Thymyl acetate
7732,cpd:C09910,Actinidine; (-)-Actinidine
7733,cpd:C09911,Umbellulone; (-)-Umbellulone
7734,cpd:C09912,Arenaine
7735,cpd:C09913,Verbenone
7736,cpd:C09914,Bakankoside
7737,cpd:C09915,"Boschniakine; (R)-6,7-Dihydro-7-methyl-5H-2-pyrindine-4-carbaldehyde"
7738,cpd:C09916,Acrovestone
7739,cpd:C09917,Arnebinol
7740,cpd:C09918,"Aucuparin; 3,5-Dimethoxy-(1,1'-biphenyl)-4-ol"
7741,cpd:C09919,Bergenin
7742,cpd:C09920,Brazilin
7743,cpd:C09921,3-Butylidene-7-hydroxyphthalide
7744,cpd:C09922,Cleomiscosin A
7745,cpd:C09923,Cyperine
7746,cpd:C09924,Daphneticin
7747,cpd:C09925,"5,6-Dehydrokawain"
7748,cpd:C09926,Dihydromethysticin
7749,cpd:C09927,Euglobal-Ia1
7750,cpd:C09928,Flossonol
7751,cpd:C09929,Garcinol
7752,cpd:C09930,Goniothalenol; Altholactone
7753,cpd:C09931,Haematoxylin; Natural Black 1; C.I. 75290
7754,cpd:C09932,Haemocorin
7755,cpd:C09933,Cantleyine
7756,cpd:C09934,Cassinine
7757,cpd:C09935,Catheduline E2
7758,cpd:C09936,Heritonin
7759,cpd:C09937,Celapanine
7760,cpd:C09938,(+)-8-Hydroxycalamenene
7761,cpd:C09939,Strobopinin
7762,cpd:C09940,Chaksine
7763,cpd:C09941,Hypercalin B
7764,cpd:C09942,Karwinaphthol B
7765,cpd:C09943,Dendrobine
7766,cpd:C09944,Karwinskione
7767,cpd:C09945,Deoxynupharidine
7768,cpd:C09946,Enicoflavine; 3-(Aminomethylene)-alpha-ethenyltetrahydro-4-hydroxy-2-oxo-2H-pyran-4-acetaldehyde
7769,cpd:C09947,Kawain; Kavain
7770,cpd:C09948,Kolanone
7771,cpd:C09949,Fabianine
7772,cpd:C09950,Lapachenole
7773,cpd:C09951,Maclurin
7774,cpd:C09952,Methysticin
7775,cpd:C09953,Monocerin
7776,cpd:C09954,"Nepodin; Musizin; 1-(1,8-Dihydroxy-3-methylnaphthalen-2-yl)ethanone"
7777,cpd:C09955,Ochratoxin A
7778,cpd:C09956,Ohioensin-A
7779,cpd:C09957,Gentianadine
7780,cpd:C09958,Orthosporin
7781,cpd:C09959,Paeoniflorin
7782,cpd:C09960,Gentianaine
7783,cpd:C09961,Gentianamine
7784,cpd:C09962,Gentioflavine
7785,cpd:C09963,Polygonolide
7786,cpd:C09964,Purpurogallin
7787,cpd:C09965,Rhododendrin
7788,cpd:C09966,Robustadial A
7789,cpd:C09967,Taxifolin 3-O-acetate
7790,cpd:C09968,Robustaol A
7791,cpd:C09969,Sarothralin
7792,cpd:C09970,Tephrowatsin A
7793,cpd:C09971,Stypandrol
7794,cpd:C09972,Theasinensin A
7795,cpd:C09973,Tremulacin
7796,cpd:C09974,"2,4,8-Trihydroxy-1-tetralone"
7797,cpd:C09975,"2',4',6'-Trihydroxy-3'-formyldihydrochalcone"
7798,cpd:C09976,Uncinatone
7799,cpd:C09977,Vismione D
7800,cpd:C09978,Uvaretin
7801,cpd:C09979,Xanthochymol
7802,cpd:C09980,Yangonin; 4-Methoxy-6-[2-(4-methoxyphenyl)ethenyl]-2H-pyran-2-one
7803,cpd:C09981,Zearalenone
7804,cpd:C09982,Acerosin
7805,cpd:C09983,Zinnolide
7806,cpd:C09984,N-(p-Hydroxyphenethyl)actinidine
7807,cpd:C09985,Jasminine
7808,cpd:C09986,Rhexifoline
7809,cpd:C09987,beta-Skytanthine
7810,cpd:C09988,Tecomine; Tecomanine
7811,cpd:C09989,Tecostanine
7812,cpd:C09990,Thiobinupharidine
7813,cpd:C09991,Valerianine
7814,cpd:C09992,Wilfordine
7815,cpd:C09993,Adouetine X
7816,cpd:C09994,Adouetine Y
7817,cpd:C09995,Adouetine Z
7818,cpd:C09996,Americine
7819,cpd:C09997,Amphibine A
7820,cpd:C09998,Amphibine B
7821,cpd:C09999,Aralionine A
7822,cpd:C10000,Canthiumine
7823,cpd:C10001,Ceanothine B
7824,cpd:C10002,Crenatine A
7825,cpd:C10003,Frangulanine
7826,cpd:C10004,Hymenocardine
7827,cpd:C10005,Integerrenine
7828,cpd:C10006,Integerressine
7829,cpd:C10007,Integerrine
7830,cpd:C10008,Lasiodine A
7831,cpd:C10009,Mucronine A
7832,cpd:C10010,Mucronine B
7833,cpd:C10011,Nummularine F
7834,cpd:C10012,Pandamine
7835,cpd:C10013,Sativanine B
7836,cpd:C10014,Scutianine F
7837,cpd:C10015,Zizyphine A
7838,cpd:C10016,Zizyphine F
7839,cpd:C10017,"Agathisflavone; 6,8''-Biapigenin"
7840,cpd:C10018,"Amentoflavone; 3',8''-Biapigenin"
7841,cpd:C10019,"Apigenin 7,4'-dimethyl ether; Apigenin dimethylether"
7842,cpd:C10020,Apigenin 7-(6''-malonylglucoside); Apigenin 7-O-(6-malonyl-beta-D-glucoside)
7843,cpd:C10021,"Axillarin; Quercetagetin 3,6-dimethyl ether"
7844,cpd:C10022,Azaleatin; Quercetin 5-methyl ether
7845,cpd:C10023,"Baicalein; 5,6,7-Trihydroxyflavone"
7846,cpd:C10024,"Baicalein 5,6,7-trimethyl ether"
7847,cpd:C10025,Baicalin; Baicalein 7-O-glucuronide
7848,cpd:C10026,Carlinoside
7849,cpd:C10027,Chlorflavonin
7850,cpd:C10028,"Chrysin; 5,7-Dihydroxyflavone"
7851,cpd:C10029,"5,7-Dimethoxyflavone; Chrysin 5,7-dimethyl ether"
7852,cpd:C10030,"Chrysosplenetin; Chrysosplenetin B; Quercetagetin 3,6,7,3'-tetramethyl ether"
7853,cpd:C10031,"Chrysosplenol C; Quercetagetin 3,7,3'-trimethyl ether"
7854,cpd:C10032,Cirsilineol
7855,cpd:C10033,Cirsiliol
7856,cpd:C10034,"Cupressuflavone; 8,8''-Biapigenin"
7857,cpd:C10035,Dasytrichone
7858,cpd:C10036,"Datiscetin; 3,5,7,2'-Tetrahydroxyflavone"
7859,cpd:C10037,"Resokaempherol; 5-Deoxykaempferol; 3,7,4'-Trihydroxyflavone"
7860,cpd:C10038,Diosmetin; Luteolin 4'-methyl ether
7861,cpd:C10039,Diosmin; Diosmetin 7-O-rutinoside
7862,cpd:C10040,Eupatilin
7863,cpd:C10041,"Fisetin; 7,3',4'-Trihydroxyflavonol"
7864,cpd:C10042,Fisetin 8-C-glucoside
7865,cpd:C10043,Flavone; 2-Phenyl-4-benzopyron; 2-Phenyl-4-chromone
7866,cpd:C10044,"Galangin; 3,5,7-Trihydroxyflavone"
7867,cpd:C10045,"3,5,7-Trimethoxyflavone; Galangin 3,5,7-trimethyl ether; Chromen-4-one, 3,5,7-trimethoxy-2-phenyl-"
7868,cpd:C10046,Genkwanin; Apigenin 7-methyl ether
7869,cpd:C10047,Geraldone; 5-Deoxychrysoeriol
7870,cpd:C10048,"Ginkgetin; Amentoflavone 7,4'-dimethyl ether"
7871,cpd:C10049,"Glepidotin A; 8-Prenylgalangin; 8-(3,3-DMA)galangin; 8-(3,3-Dimethylallyl)galangin"
7872,cpd:C10050,Gossypetin 8-rhamnoside
7873,cpd:C10051,Gossypin; Gossypetin 8-O-glucoside
7874,cpd:C10052,"Athyriol; 3-Methoxy-1,6,7-trihydroxyxanthone"
7875,cpd:C10053,"Bellidifolin; 3-Methoxy-1,5,8-trihydroxyxanthone"
7876,cpd:C10054,"Calophyllin B; 6-(3,3-Dimethylallyl)-1,5-dihydroxyxanthone"
7877,cpd:C10055,Dehydrocycloguanandin
7878,cpd:C10056,"Demethylbellidifolin; 1,3,5,8-Tetrahydroxyxanthone"
7879,cpd:C10057,Hinokiflavone
7880,cpd:C10058,Hispidulin; Dinatin; Scutellarein 6-methyl ether
7881,cpd:C10059,6-Deoxyjacareubin
7882,cpd:C10060,"3,5-Dimethoxy-1,6-dihydroxyxanthone"
7883,cpd:C10061,"Euxanthone; 1,7-Dihydroxyxanthone"
7884,cpd:C10062,Gambogic acid
7885,cpd:C10063,"Gartanin; 1,3,5,8-Tetrahydroxy-2,4-diprenylxanthone"
7886,cpd:C10064,"Gentiacaulein; 2,8-Dihydroxy-1,6-dimethoxyxanthone"
7887,cpd:C10065,"Gentisein; 1,3,7-Trihydroxyxanthone"
7888,cpd:C10066,"Gentisin; 1,7-Dihydroxy-3-methoxyxanthone"
7889,cpd:C10067,Irisxanthone
7890,cpd:C10068,6-Hydroxykaempferol
7891,cpd:C10069,"Isoathyriol; 6-Methoxy-1,3,7-trihydroxyxanthone"
7892,cpd:C10070,"Isogentisin; 1,3-Dihydroxy--7-methoxyxanthone"
7893,cpd:C10071,1-Isomangostin
7894,cpd:C10072,"6-Hydroxyluteolin; 5,6,7,3',4'-Pentahydroxyflavone"
7895,cpd:C10073,Hyperin; Quercetin 3-galactoside
7896,cpd:C10074,Jacareubin
7897,cpd:C10075,"Lancerin; 4-C-Glucosyl-1,3,7-trihydroxyxanthone"
7898,cpd:C10076,Macluraxanthone; 3-Hydroxyblancoxanthone
7899,cpd:C10077,Mangiferin; Chinomin
7900,cpd:C10078,Hypolaetin; 8-Hydroxyluteolin
7901,cpd:C10079,"Isoetin; 5,7,2',4',5'-Pentahydroxyflavone"
7902,cpd:C10080,Mangostin
7903,cpd:C10081,"Mesuaxanthone A; 1,5-Dihydroxy-3-methoxyxanthone"
7904,cpd:C10082,"Mesuaxanthone B; 1,5,6-Trihydroxyxanthone"
7905,cpd:C10083,"2-O-Methylswertianin; 1,8-Dihydroxy-2,6-dimethoxyxanthone"
7906,cpd:C10084,Isorhamnetin; 3-Methylquercetin; Quercetin 3'-methyl ether
7907,cpd:C10085,Morellin
7908,cpd:C10086,"Norathyriol; 1,3,6,7-Tetrahydroxyxanthone"
7909,cpd:C10087,"Norlichexanthone; 1,3,6-Trihydroxy-8-methyl-9H-xanthen-9-one"
7910,cpd:C10088,"Norswertianin; 1,2,6,8-Tetrahydroxyxanthone"
7911,cpd:C10089,Norswertianolin
7912,cpd:C10090,Psorospermin
7913,cpd:C10091,"Swerchirin; 5-O-Methylbellidifolin; 3,5-Dimethoxy-1,8-dihydroxyxanthone"
7914,cpd:C10092,"Swertianin; 1,2,8-Trihydroxy-6-methoxyxanthone"
7915,cpd:C10093,Swertianolin; Bellidifolin-8-O-glucoside
7916,cpd:C10094,"1,3,5-Trihydroxyxanthone"
7917,cpd:C10095,Tripteroside; Norathyriol-6-O-beta-D-glucoside
7918,cpd:C10097,Isoscutellarein; 8-Hydroxyapigenin
7919,cpd:C10098,Kaempferide; Kempferide; Kaempferol 4'-methyl ether
7920,cpd:C10099,Kuwanone G
7921,cpd:C10100,Kuwanone H
7922,cpd:C10101,(-)-Usnic acid; (S)-Usnic acid; (S)-Usnate
7923,cpd:C10102,"Lucenin-2; Luteolin 6,8-di-C-glucoside"
7924,cpd:C10103,Luteolin 7-O-(6''-malonylglucoside)
7925,cpd:C10104,6-Methoxyluteolin 7-rhamnoside
7926,cpd:C10105,"Morin; 3,5,7,2',4'-Pentahydroxyflavone; C.I.Natural Yellow 8"
7927,cpd:C10106,Morusin
7928,cpd:C10107,"Myricetin; 3,5,7,3',4',5'-Hexahydroxyflavone"
7929,cpd:C10108,Myricitrin; Myricetin 3-O-rhamnoside
7930,cpd:C10109,Neocarlinoside
7931,cpd:C10110,Neoschaftoside
7932,cpd:C10111,Nevadensin
7933,cpd:C10112,"Nobiletin; Hexamethoxyflavone; 5,6,7,8,3',4'-Hexamethoxyflavone"
7934,cpd:C10113,"Norwogonin; 5,7,8-Trihydroxyflavone"
7935,cpd:C10114,Orientin; Luteolin 8-C-glucoside
7936,cpd:C10115,Oxyanin A; Oxyayanin A
7937,cpd:C10116,Oxyanin B; Oxyayanin B
7938,cpd:C10117,"Pachypodol; Quercetin 3,7,3'-trimethyl ether"
7939,cpd:C10118,Patuletin; Quercetagetin 6-methyl ether
7940,cpd:C10119,"Pedalitin; 3',4',5,6-Tetrahydroxy-7-methoxyflavone"
7941,cpd:C10120,Pinoquercetin; 6-C-Methylquercetin
7942,cpd:C10121,"Primetin; 5,8-Dihydroxyflavone"
7943,cpd:C10122,Quercetagetin; 6-Hydroxyquercetin
7944,cpd:C10123,Adenocarpine
7945,cpd:C10124,Alexine
7946,cpd:C10125,Ammodendrine; Spherocarpine
7947,cpd:C10126,Anatabine; (-)-Anatabine
7948,cpd:C10127,Anibine
7949,cpd:C10128,Arecaidine
7950,cpd:C10129,Arecoline
7951,cpd:C10130,Astrocasine
7952,cpd:C10131,Astrophylline
7953,cpd:C10132,Australine
7954,cpd:C10133,Brunfelsamidine
7955,cpd:C10134,Buchananine
7956,cpd:C10135,Carpaine
7957,cpd:C10136,Cassine
7958,cpd:C10137,Codonopsine
7959,cpd:C10138,gamma-Coniceine
7960,cpd:C10139,Cryptophorine
7961,cpd:C10140,Cucurbitine
7962,cpd:C10141,Deoxymannojirimycin; DMJ
7963,cpd:C10142,Dioscorine
7964,cpd:C10143,"DMDP; 2,5-Dihydroxymethyl-3,4-dihydroxypyrrolidine"
7965,cpd:C10144,Fagomine
7966,cpd:C10145,Funebrine
7967,cpd:C10146,Fusaric acid
7968,cpd:C10147,Gerrardine
7969,cpd:C10148,Girgensonine
7970,cpd:C10149,Guvacine
